Actual,Predicted
75859.4,70871.125
76482.2,72100.46875
76675.1,73829.3828125
80410.0,75507.5859375
88728.9,75841.8828125
87972.0,77268.5546875
90413.30000000002,79607.1796875
87382.7,82892.21875
91074.6,85153.859375
90643.3,85646.1015625
89899.9,85379.859375
90507.39999999998,84710.15625
92335.9,84849.15625
94288.0,85100.0625
98366.8,85746.9140625
98921.39999999998,87113.328125
97725.5,88319.1484375
97960.4,89404.640625
93064.0,90124.3046875
92021.4,89738.8984375
95905.2,89049.2421875
95694.4,88698.4375
97516.30000000002,88224.2265625
96475.1,87966.6796875
97265.1,88195.2421875
95890.5,88317.828125
95383.6,88545.4765625
